Nicobar,Andaman And Nicobar Islands   ,0
N&M,Andaman And Nicobar Islands   ,1
South,Andaman And Nicobar Islands   ,1
Unknown,Andaman and Nicobar Islands,4
Anantapur,Andhra Pradesh ,0
Kurnool,Andhra Pradesh ,0
Srikakulam,Andhra Pradesh ,0
Vizianagaram,Andhra Pradesh ,0
West Godavari,Andhra Pradesh ,0
Y.S.R,Andhra Pradesh ,0
Unknown,Andhra Pradesh,0
Chitoor,Andhra Pradesh ,1
East,Andhra Pradesh ,1
Prakasam,Andhra Pradesh ,1
S.P.S. Nellore,Andhra Pradesh ,1
Guntur,Andhra Pradesh ,2
Krishna,Andhra Pradesh ,3
Visakhapatnam,Andhra Pradesh ,4
Unknown,Arunachal Pradesh,0
Unknown,Assam,0
Araria,Bihar,0
Arwal,Bihar,0
Aurangabad,Bihar,0
Banka,Bihar,0
Begusarai,Bihar,0
Bhagalpur,Bihar,0
Bhojpur,Bihar,0
Buxar,Bihar,0
Darbhanga,Bihar,0
East Champaran,Bihar,0
Gaya,Bihar,0
Gopalganj,Bihar,0
Jamui,Bihar,0
Jehanabad,Bihar,0
Kaimur,Bihar,0
Katihar,Bihar,0
Khagaria,Bihar,0
Kishanganj,Bihar,0
Lakhisarai,Bihar,0
Madhepura,Bihar,0
Madhubani,Bihar,0
Muzffarpur,Bihar,0
Nawada,Bihar,0
Purnia,Bihar,0
Rohtas,Bihar,0
Saharsa,Bihar,0
Samastipur,Bihar,0
Saran,Bihar,0
Sheikhpura,Bihar,0
Sheohar,Bihar,0
Sitamarhi,Bihar,0
Supaul,Bihar,0
Unknown,Bihar,0
Vaishali,Bihar,0
West Champaran,Bihar,0
Nalanda,Bihar,1
Siwan,Bihar,1
Munger,Bihar,3
Patna,Bihar,4
Unknown,Chandigarh,0
Chandigarh,Chandigarh,8
Baloda Bazar ,Chhattisgarh,0
Balod,Chhattisgarh,0
Balrampur,Chhattisgarh,0
Bastar,Chhattisgarh,0
Bemetara,Chhattisgarh,0
Bijapur,Chhattisgarh,0
Dantewada,Chhattisgarh,0
Dhamtari,Chhattisgarh,0
Gariaband,Chhattisgarh,0
Gaurela-Pendra-Marwahi,Chhattisgarh,0
Janjgir-Champa,Chhattisgarh,0
Jashpur,Chhattisgarh,0
Kabirdham,Chhattisgarh,0
Kanker,Chhattisgarh,0
Kondagaon,Chhattisgarh,0
Korba,Chhattisgarh,0
Koriya,Chhattisgarh,0
Mahasamund,Chhattisgarh,0
Mungeli,Chhattisgarh,0
Narayanpur,Chhattisgarh,0
Raigarh,Chhattisgarh,0
Sukma,Chhattisgarh,0
Surajpur,Chhattisgarh,0
Surguja,Chhattisgarh,0
Unknown,Chhattisgarh,0
Bilaspur,Chhattisgarh,1
Durg,Chhattisgarh,1
Rajnandgaon,Chhattisgarh,1
Raipur,Chhattisgarh,3
Unknown,Dadra and Nagar Haveli,0
Unknown,Daman and Diu,0
Central,Delhi,0
Shahdara,Delhi,0
South East,Delhi,0
East Delhi ,Delhi,1
North East,Delhi,1
South West,Delhi,1
West Delhi,Delhi,1
Delhi,Delhi,11
Unknown,Delhi,17
North Delhi,Delhi,2
North West,Delhi,3
South West,Delhi,3
South Goa,Goa,0
Unknown,Goa,0
North Goa,Goa,3
Amreli,Gujarat,0
Anand,Gujarat,0
Aravalli,Gujarat,0
Banaskantha,Gujarat,0
Bharuch,Gujarat,0
Bhavnagar,Gujarat,0
Botad,Gujarat,0
Chhota Udepur,Gujarat,0
Dahod,Gujarat,0
Dang,Gujarat,0
Devbhoomi Dwarka,Gujarat,0
Gir Somnath,Gujarat,0
Jamnagar,Gujarat,0
Junagadh,Gujarat,0
Kheda,Gujarat,0
Mahisagar,Gujarat,0
Morbi,Gujarat,0
Narmada,Gujarat,0
Navsari,Gujarat,0
Panchmahal,Gujarat,0
Patan,Gujarat,0
Porbandar,Gujarat,0
Sabarkantha,Gujarat,0
Surendranagar,Gujarat,0
Tapi,Gujarat,0
Valsad,Gujarat,0
Kutch,Gujarat,1
Mehsana,Gujarat,1
Ahmedabad,Gujarat,17
Surat,Gujarat,5
Gandhinagar,Gujarat,7
Rajkot,Gujarat,7
Unknown,Gujarat,7
Vadodara,Gujarat,9
Ambala,Haryana,0
Bhiwani,Haryana,0
Charkhi Dadri,Haryana,0
Fatehabad,Haryana,0
Hisar,Haryana,0
Jhajjar,Haryana,0
Jind,Haryana,0
Kaithal,Haryana,0
Karnal,Haryana,0
Kurukshetra,Haryana,0
Mahendragarh,Haryana,0
Nuh,Haryana,0
Rewari,Haryana,0
Rohtak,Haryana,0
Sirsa,Haryana,0
Yamunanagar,Haryana,0
Palwal,Haryana,1
Panchkula,Haryana,1
Sonepat,Haryana,1
Unknown,Haryana,1
Faridabad,Haryana,2
Gurugram,Haryana,24
Panipat,Haryana,3
Bilaspur,Himachal Pradesh ,0
Chamba,Himachal Pradesh ,0
Hamirpur,Himachal Pradesh ,0
Kinnaur,Himachal Pradesh ,0
Kullu,Himachal Pradesh ,0
Lahaul and Spiti,Himachal Pradesh ,0
Mandi,Himachal Pradesh ,0
Shimla,Himachal Pradesh ,0
Sirmaur,Himachal Pradesh ,0
Solan,Himachal Pradesh ,0
Una,Himachal Pradesh ,0
Unknown,Himachal Pradesh,0
Kangra,Himachal Pradesh ,3
Anantnag,Jammu and Kashmir,0
Baramulla,Jammu and Kashmir,0
Budgam,Jammu and Kashmir,0
Doda,Jammu and Kashmir,0
Ganderbal,Jammu and Kashmir,0
Kathua,Jammu and Kashmir,0
Kishtwar,Jammu and Kashmir,0
Kulgam,Jammu and Kashmir,0
Kupwara,Jammu and Kashmir,0
Poonch,Jammu and Kashmir,0
Pulwama,Jammu and Kashmir,0
Ramban,Jammu and Kashmir,0
Reasi,Jammu and Kashmir,0
Samba,Jammu and Kashmir,0
Shopian,Jammu and Kashmir,0
Udhampur,Jammu and Kashmir,0
Jammu,Jammu and Kashmir,1
Rajouri,Jammu and Kashmir,3
Unknown,Jammu and Kashmir,3
Bandipore,Jammu and Kashmir,4
Srinagar,Jammu and Kashmir,9
Unknown,Jharkhand,0
Bagalkot,Karnataka,0
Ballari,Karnataka,0
Belgaum,Karnataka,0
Bidar,Karnataka,0
Chamarajnagar,Karnataka,0
Gadag,Karnataka,0
Hassan,Karnataka,0
Haveri,Karnataka,0
Kolar,Karnataka,0
Koppal,Karnataka,0
Mandya,Karnataka,0
Raichur,Karnataka,0
Ramanagara,Karnataka,0
Shimoga,Karnataka,0
Tumakuru,Karnataka,0
Unknown,Karnataka,0
Vijayapura,Karnataka,0
Yadgir,Karnataka,0
Chitradurga,Karnataka,1
Davanagere,Karnataka,1
Dharwad,Karnataka,1
Kodagu,Karnataka,1
Tumkur,Karnataka,1
Udupi,Karnataka,1
Kalaburagi,Karnataka,3
Mysuru,Karnataka,3
Bengaluru,Karnataka,38
Chikkaballapura,Karnataka,4
Uttara Kannada,Karnataka,4
Dakshina Kannada,Karnataka,6
Unknown,Kerala,0
Kollam,Kerala,1
Wayanad,Kerala,1
Pathanamthitta,Kerala,12
Ernakulam,Kerala,19
Alappuzha,Kerala,2
Kannur,Kerala,25
Idukki,Kerala,3
Kottayam,Kerala,3
Palakkad,Kerala,3
Thiruvananthapuram,Kerala,5
Kozhikode,Kerala,6
Thrissur,Kerala,6
Malappuram,Kerala,8
Kasaragod,Kerala,82
Unknown,Ladakh,0
Leh,Ladakh,11
Kargil,Ladakh,2
Unknown,Lakshadweep,0
Agar Malwa,Madhya Pradesh,0
Alirajpur,Madhya Pradesh,0
Anuppur,Madhya Pradesh,0
Ashoknagar,Madhya Pradesh,0
Balaghat,Madhya Pradesh,0
Barwani,Madhya Pradesh,0
Betul,Madhya Pradesh,0
Bhind,Madhya Pradesh,0
Burhanpur,Madhya Pradesh,0
Chachaura-Binaganj,Madhya Pradesh,0
Chhatarpur,Madhya Pradesh,0
Chhindwara,Madhya Pradesh,0
Damoh,Madhya Pradesh,0
Datia,Madhya Pradesh,0
Dewas,Madhya Pradesh,0
Dhar,Madhya Pradesh,0
Dindori,Madhya Pradesh,0
Guna,Madhya Pradesh,0
Harda,Madhya Pradesh,0
Hoshangabad,Madhya Pradesh,0
Jhabua,Madhya Pradesh,0
Katni,Madhya Pradesh,0
Khandwa,Madhya Pradesh,0
Khargone,Madhya Pradesh,0
Maihar,Madhya Pradesh,0
Mandla,Madhya Pradesh,0
Mandsaur,Madhya Pradesh,0
Morena,Madhya Pradesh,0
Nagda,Madhya Pradesh,0
Narsinghpur,Madhya Pradesh,0
Neemuch,Madhya Pradesh,0
Niwari,Madhya Pradesh,0
Panna,Madhya Pradesh,0
Raisen,Madhya Pradesh,0
Rajgarh,Madhya Pradesh,0
Ratlam,Madhya Pradesh,0
Rewa,Madhya Pradesh,0
Sagar,Madhya Pradesh,0
